product_id,product_name,sku,category_id,description,price,cost_price,stock_quantity,reorder_level,brand,weight_kg,dimensions,is_active,featured,average_rating,total_reviews,created_at
1,MacBook Pro 16-inch M3,APPLE-MBP16-M3-2024,2,"Professional laptop with M3 chip, 16GB RAM, 512GB SSD. Perfect for developers and creative professionals.",2499.00,1899.00,45,10,Apple,2.15,"35.9 x 24.8 x 1.7 cm",TRUE,TRUE,4.8,234,2024-02-01 09:00:00
2,Dell XPS 15 9530,DELL-XPS15-9530,2,"High-performance laptop with Intel i7, 16GB RAM, 1TB SSD, NVIDIA RTX 4050 graphics card.",1899.00,1399.00,32,8,Dell,1.92,"34.4 x 23.0 x 1.8 cm",TRUE,TRUE,4.6,187,2024-02-05 10:30:00
3,iPhone 15 Pro Max,APPLE-IP15PM-256,3,"Latest iPhone with A17 Pro chip, 256GB storage, advanced camera system, titanium design.",1199.00,849.00,120,30,Apple,0.221,"16.0 x 7.7 x 0.8 cm",TRUE,TRUE,4.9,512,2024-03-10 11:00:00
4,Samsung Galaxy S24 Ultra,SAMS-S24U-512,3,"Premium Android phone with S Pen, 512GB storage, 200MP camera, AI features.",1299.00,929.00,89,25,Samsung,0.232,"16.3 x 7.9 x 0.9 cm",TRUE,TRUE,4.7,389,2024-03-15 14:20:00
5,Sony WH-1000XM5,SONY-WH1000XM5-BLK,4,"Industry-leading noise canceling wireless headphones with 30-hour battery life.",399.00,249.00,156,40,Sony,0.250,"25.4 x 22.0 x 9.9 cm",TRUE,TRUE,4.8,891,2024-01-20 09:45:00
6,Apple AirPods Pro 2nd Gen,APPLE-APP2-USB,4,"Premium wireless earbuds with active noise cancellation and spatial audio.",249.00,179.00,234,60,Apple,0.050,"6.0 x 4.5 x 2.1 cm",TRUE,TRUE,4.7,1243,2024-01-25 10:15:00
7,Men's Levi's 501 Original Jeans,LEVIS-501-BLUE-32X32,6,"Classic straight fit jeans in original blue denim, button fly, 100% cotton.",69.99,32.00,450,100,Levi's,0.680,"Standard fit",TRUE,FALSE,4.5,567,2024-02-10 13:00:00
8,Nike Air Max 90,NIKE-AM90-WHT-10,6,"Iconic running shoes with Max Air cushioning, leather and textile upper.",129.99,65.00,280,75,Nike,0.850,"Standard shoe box",TRUE,TRUE,4.6,734,2024-02-15 15:30:00
9,Women's Zara Floral Summer Dress,ZARA-FSD-BLU-M,7,"Elegant floral print midi dress, 100% cotton, perfect for summer occasions.",79.99,38.00,180,50,Zara,0.320,"Packaged flat",TRUE,TRUE,4.4,298,2024-03-05 11:45:00
10,Adidas Ultraboost 22 Women's,ADIDAS-UB22-BLK-8,7,"Premium running shoes with Boost cushioning and Primeknit upper.",189.99,95.00,145,40,Adidas,0.760,"Standard shoe box",TRUE,FALSE,4.7,456,2024-03-20 10:00:00
11,Ray-Ban Aviator Sunglasses,RAYBAN-AVI-GLD,8,"Classic aviator sunglasses with gold frame and green polarized lenses.",169.99,85.00,210,50,Ray-Ban,0.035,"Case included",TRUE,TRUE,4.8,621,2024-02-20 14:15:00
12,Michael Kors Leather Handbag,MK-LHBG-BRN,8,"Genuine leather handbag with signature MK logo, multiple compartments.",349.99,175.00,67,20,Michael Kors,0.890,"35 x 28 x 12 cm",TRUE,TRUE,4.6,189,2024-02-25 16:00:00
